english,hungarian
bye,Viszlát
buy,vétel
telling,sokatmondó
honey,méz
tried,kipróbált
front,elülső
team,csapat
answer,válasz
gun,pisztoly
boys,fiúk
line,vonal
send,elküld
news,hír
stupid,hülye
bed,ágy
hurry,siet
full,tele
months,hónap
save,megtakarítás
sometimes,néha
become,válik
along,mentén
hate,gyűlölet
food,élelmiszer
outside,kívül
light,fény
l,l
needs,igények
dog,kutya
country,ország
clear,világos
order,rendelés
em,em
fact,tény
lord,lord
captain,kapitány
six,hat
hot,forró
funny,vicces
black,fekete
mrs.,asszony.
alive,élő
pick,csákány
feeling,érzés
living,élő
cause,ok
ahead,előre
lose,veszít
king,király
plan,terv
dinner,vacsora
sighs,sóhajt
sort,fajta
leaving,kilépő
shouldn,kellene
running,futás
boss,főnök
alright,rendben van
promise,ígéret
taken,vett
safe,biztonságos
ma,ma
book,könyv
sent,küldött
white,fehér
hour,óra
anybody,bárki
small,kicsi
perfect,tökéletes
cause,ok
lives,él
special,különleges
parents,szülők
s,s
john,János
himself,magát
perhaps,talán
sounds,hangokat
serious,súlyos
sick,beteg
company,vállalat
ha,Ha
scared,megrémült
uncle,nagybácsi
poor,szegény
red,piros
past,elmúlt
earth,Föld
possible,lehetséges
shoot,lő
touch,érintés
sound,hang
top,tetejére
ass,szamár
laughs,nevet
cannot,nem lehet
asking,kérve
win,győzelem
glad,boldog
control,ellenőrzés
hmm,hmm
human,emberi
drive,hajtás
hair,haj
jack,csatlakozó
bitch,kurva
luck,szerencse
murder,gyilkosság
happens,történik
air,levegő
ten,tíz
daddy,apu
finally,végül
chuckles,kuncog
fast,gyors
cold,hideg
seem,látszik
laughing,nevető
words,szavak
hospital,kórház
street,utca
hang,lógni
dance,tánc
meeting,találkozó
till,amíg
others,mások
catch,fogás
follow,kövesse
sense,érzék
sex,szex
lie,hazugság
evening,este
master,fő-
known,ismert
dream,álom
write,írj
million,millió
voice,hang
sweet,édes
rather,inkább
felt,filc
sign,jel
lucky,szerencsés
somewhere,valahol
bet,tét
o,o
jesus,Jézus
longer,hosszabb
calling,hívás
worked,dolgozott
quiet,csendes
looked,nézett
less,kevesebb
pull,Húzni
beat,üt
careful,óvatos
coffee,kávé
return,visszatérés
secret,titkos
weeks,hétig
weren,voltak
date,dátum
seeing,látás
fall,esik
given,adott
ooh,óóó
fault,hiba
straight,egyenes
takes,veszi
song,dal
future,jövőbeli
gentlemen,Urak
loved,szeretett
changed,megváltozott
road,út
calm,nyugodt
wonderful,csodálatos
mad,őrült
turned,esztergált
drop,csepp
ladies,hölgyek
learn,tanul
step,lépés
absolutely,teljesen
early,korai
explain,megmagyarázni
clean,tiszta
piece,darab
yesterday,tegnap
throw,dobás
picture,kép
land,föld
feet,lábát
wonder,csoda
questions,kérdéseket
speaking,beszélő
worth,érdemes
darling,Drágám
dude,haver
giving,adva
president,elnök
eye,szem
quick,gyors
moving,mozgó
figure,ábra
state,állami
strong,erős
sam,sam
none,egyik sem
amazing,elképesztő
ones,egyesek
works,művek
act,cselekedni
needed,szükséges
weird,furcsa
law,törvény
worried,aggódó
report,jelentés
goodbye,búcsú
missing,hiányzó
choice,választás
happening,esemény
chief,fő
wedding,esküvő
strange,furcsa
general,általános
pain,fájdalom
am,am
kidding,viccelek
decided,határozott
ya,igen
pass,pass
tired,fáradt
class,osztály
officer,tisztviselő
kept,tartotta
wake,ébred
worse,rosszabb
busy,elfoglalt
eh,eh
mistake,hiba
kiss,csók
court,bíróság
building,épület
finish,befejezni
during,alatt
age,kor
ship,hajó
caught,elkapták
marry,házasodni
meant,jelentett
sell,elad
dark,sötét
watching,figyeli
system,rendszer
suppose,tegyük fel
evidence,bizonyíték
movie,film
ride,lovagol
t,t
completely,teljesen
mouth,száj
totally,teljesen
birthday,születésnap
tv,tv
forgive,megbocsát
born,született
imagine,képzeld el
information,információ
instead,helyette
definitely,határozottan
security,biztonság
certainly,biztosan
film,film
month,hónap
lying,fekvő
unless,hacsak nem
train,vonat
seven,hét
wear,viselet
clothes,ruházat
michael,michael
hotel,szálloda
christmas,karácsonyi
attack,támadás
hasn,hasn
round,kerek
expect,elvárják
sing,énekel
terrible,szörnyű
george,György
bag,táska
history,történelem
blue,kék
near,közel
broke,eltört
station,állomás
seriously,komolyan
forever,örökre
david,David
frank,őszinte
except,kivéve
thinks,gondolja
message,üzenet
entire,teljes
joe,joe
table,táblázat
talked,beszélt
across,át
rock,szikla
lovely,bájos
handle,fogantyú
middle,középső
buddy,haver
paid,fizetett
protect,védeni
using,segítségével
floor,emelet
ran,futott
swear,esküszik
spend,tölt
situation,helyzet
ring,gyűrű
anywhere,bárhol
dangerous,veszélyes
bill,számla
york,york
army,hadsereg
lead,ólom
bought,vásárolt
finished,befejezett
fair,igazságos
sun,nap
letter,levél
fool,bolond
attention,Figyelem
club,klub
simple,egyszerű
interesting,érdekes
space,tér
test,teszt
box,doboz
group,csoport
single,egyetlen
sitting,ülés
marriage,házasság
join,csatlakozik
fear,félelem
d,d
peace,béke
forgot,elfelejtette
force,erő
short,rövid
normal,normál
charlie,Charlie
present,jelenlegi
enjoy,élvez
mike,mikrofon
crime,bűncselekmény
horse,ló
ground,föld
american,amerikai
count,gróf
area,terület
charge,díj
honor,becsület
lunch,ebéd
miles,mérföldre
radio,rádió
idiot,idióta
ball,labda
surprise,meglepetés
paper,papír
key,kulcsfontosságú
boat,hajó
quickly,gyorsan
gold,arany
bar,bár
fish,hal
mark,Mark
tom,tom
wearing,fárasztó
crying,síró
accident,baleset
government,kormány
eight,nyolc
fell,leesett
cover,borító
certain,bizonyos
interested,érdekelt
deep,mély
star,csillag
sea,tenger
agree,egyetért
problems,problémákat
detective,nyomozó
prison,börtön
major,őrnagy
stick,bot
offer,ajánlat
difficult,nehéz
smart,okos
personal,személyes
record,rekord
stopped,megállt
hide,elrejt
whether,vajon
bank,bank
trip,utazás
relax,lazíts
america,Amerika
public,nyilvános
list,lista
afternoon,délután
brain,agy
fix,javítani
bastard,fattyú
proud,büszke
tea,tea
service,szolgáltatás
screaming,sikoltozva
forward,előre
angry,dühös
park,park
soul,lélek
fighting,harcoló
peter,Péter
rich,gazdag
agent,ügynök
blow,fúj
paul,pál
dress,ruha
mary,Mária
missed,hiányzott
scene,színhely
killing,gyilkolás
standing,álló
saved,mentve
mm,mm
respect,tisztelet
killer,gyilkos
ice,jég
mess,rendetlenség
tough,kemény
feels,úgy érzi
church,templom
sad,szomorú
cell,sejt
drunk,részeg
share,részesedés
camera,kamera
mm-hmm,mm-hmm
within,belül
card,kártya
fly,repül
ben,ben
girlfriend,barátnő
laugh,nevetés
smell,szag
broken,törött
mum,mama
honest,becsületes
often,gyakran
starting,induló
calls,hívásokat
y,y
spent,költött
third,harmadik
english,angol
visit,látogatás
mama,mama
judge,bíró
window,ablak
hungry,éhes
dare,merészel
relationship,kapcsolat
moved,megmozdult
prove,bizonyítani
private,magán
wall,fal
seat,ülés
i-i,i-i
position,pozíció
lieutenant,hadnagy
realize,észre
lt,lt
especially,főleg
machine,gép
walking,gyaloglás
art,művészet
pleasure,öröm
bloody,véres
college,főiskola
french,francia
involved,érintett
cry,kiáltás
became,lett
lived,élt
impossible,lehetetlen
obviously,nyilvánvalóan
neither,sem
accept,elfogadni
boyfriend,barát
besides,kívül
queen,királynő
teacher,tanár
cops,zsaruk
sake,kedvéért
loves,szeret
carry,visz
teach,tanít
apartment,lakás
upset,felborít
green,zöld
la,la
liked,tetszett
cute,csinos
evil,gonosz
professor,egyetemi tanár
contact,érintkezés
joke,tréfa
cop,zsaru
huge,hatalmas
holy,szent
store,bolt
jail,börtön
likes,kedveli
lawyer,ügyvéd
doubt,kétség
continue,folytassa
appreciate,értékelni
cat,macska
shop,üzlet
driving,vezetés
congratulations,Gratulálok
wrote,írt
village,falu
quit,kilép
field,mező
james,James
wine,bor
decision,döntés
south,déli
sleeping,alvás
slow,lassú
laughter,nevetés
island,sziget
glass,üveg
beginning,kezdet
cash,készpénz
dying,haldokló
hundred,száz
whose,akinek
difference,különbség
plane,repülőgép
push,nyomja
continues,folytatja
mmm,mmm
singing,éneklés
eating,étkezési
north,északi
mrs,asszony
tree,fa
madam,madám
gift,ajándék
truck,teherautó
putting,elhelyezés
bear,medve
board,bizottság
grab,megragad
beer,sör
stuck,megragadt
magic,mágikus
support,támogatás
rules,szabályokat
grunts,morog
partner,partner
reach,elérheti
wind,szél
colonel,ezredes
max,max
immediately,azonnal
seconds,másodpercig
thousand,ezer
gives,ad
experience,tapasztalat
cheers,Egészségére
victim,áldozat
upon,után
computer,számítógép
christ,Krisztus
planet,bolygó
promised,ígért
bus,busz
henry,Henrik
dirty,piszkos
search,keresés
staying,tartózkodás
dreams,álmokat
arrest,letartóztatás
holding,holding
suddenly,hirtelen
usually,általában
lots,sok
shoes,cipő
er,er
jump,ugrás
rid,megszabadulni
yo,yo
knock,kopogás
owe,tartozik
harry,Harry
grow,nő
worst,legrosszabb
river,folyó
aunt,néni
patient,beteg
kitchen,konyha
aah,aah
fat,zsír
passed,átment
m,m
final,végső
summer,nyári
bob,bob
listening,hallgat
escape,menekülés
everywhere,mindenhol
moon,hold
arms,fegyver
turns,fordul
address,cím
ow,óóó
match,mérkőzés
gasps,zihál
grand,nagy
yep,Igen
shh,pszt
nervous,ideges
de,de
choose,válasszon
themselves,maguk
decide,dönt
mate,társ
drinking,ivás
press,sajtó
bother,zavar
foot,láb
hadn,volt
blame,hibáztatni
crap,szar
drugs,gyógyszerek
type,típus
rings,gyűrűk
mission,misszió
named,nevű
heaven,ég
ii,ii
picked,válogatott
paris,Párizs
race,verseny
risk,kockázat
books,könyveket
further,további
danny,Danny
action,akció
allowed,megengedett
orders,parancsokat
learned,tanult
price,ár
arrived,megérkezett
nick,nick
otherwise,egyébként
pictures,képeket
fit,illeszkedik
smoke,füst
favor,szívességet
played,játszott
notice,értesítés
awesome,döbbenetes
smile,mosoly
director,igazgató
guard,őr
begin,kezdődik
spot,folt
surprised,meglepődött
innocent,ártatlan
narrator,narrátor
herself,önmaga
london,London
feelings,érzéseket
enemy,ellenség
battle,csata
ourselves,magunkat
alex,Alex
dollars,dollárt
allow,engedje meg
nine,kilenc
gay,meleg
department,osztály
guilty,bűnös
apart,egymástól
earlier,korábban
duty,vám
jim,jim
suit,öltöny
bell,harang
west,nyugat
legs,lábak
hero,hős
destroy,elpusztítani
stage,színpadon
bunch,csokor
according,szerint
chicken,csirke
bigger,nagyobb
grunting,morogva
low,alacsony
helping,segítve
admit,elismerni
closed,zárt
names,neveket
witness,tanú
upstairs,emeleten
arm,kar
steal,lop
jimmy,Jimmy
kick,rúgás
twice,kétszer
cross,kereszt
ways,módokon
sergeant,őrmester
indeed,valóban
gas,gáz
keeping,tartása
energy,energia
pregnant,terhes
waste,hulladék
helped,segített
fired,kirúgták
favorite,kedvenc
tony,tony
taste,íz
locked,bezárt
places,helyeken
writing,írás
adam,Ádám
brothers,testvérek
starts,elindul
prince,herceg
form,forma
sold,eladott
silly,buta
mention,említés
build,épít
throat,torok
hole,lyuk
figured,mintás
track,pálya
ringing,csengetés
lock,zár
leg,láb
above,felett
hiding,bujkál
steve,Steve
seemed,úgy tűnt
breakfast,reggeli
engine,motor
written,írott
complete,teljes
video,videó
applause,taps
however,viszont
pressure,nyomás
fresh,friss
weapon,fegyver
sky,ég
ms.,ms.
stole,ellopta
study,tanulmány
burn,éget
reading,olvasás
crowd,tömeg
treat,élvezet
roll,tekercs
double,kettős
spirit,szellem
danger,veszély
cost,költség
empty,üres
level,szint
memory,memória
itself,maga
acting,ható
interest,kamat
nose,orr
plans,terveket
following,következő
bathroom,fürdőszoba
built,épült
closer,közelebb
ray,sugár
sarah,Sára
band,zenekar
groans,nyögi
apparently,látszólag
excited,izgatott
richard,Richard
losing,vesztes
animals,állatokat
flight,repülési
nature,természet
raise,emel
pop,pop
client,ügyfél
bomb,bomba
neck,nyak
suspect,gyanúsított
warm,meleg
extra,külön-
bottle,üveg
van,furgon
heavy,nehéz
mommy,anyuci
dogs,kutyák
wild,vad
ridiculous,nevetséges
simply,egyszerűen
lee,lee
animal,állati
showed,mutatta
billy,fütykösbot
shooting,lövés
keeps,megtartja
camp,tábor
guns,fegyvereket
medical,orvosi
shame,szégyen
hoping,abban a reményben
whom,kit
bird,madár
majesty,felség
flowers,virágok
famous,híres
asleep,alvó
beauty,szépség
driver,sofőr
keys,kulcsokat
rain,eső
awful,szörnyű
large,nagy
local,helyi
deserve,megérdemlik
goddamn,az istenit
stone,kő
jane,jane
grace,kegyelem
consider,fontolja meg
weekend,hétvégi
wondering,csodálkozó
lay,világi
plenty,bőven
willing,hajlandó
pants,nadrág
sweetheart,Édesem
skin,bőr
excellent,kiváló
asshole,seggfej
beach,strand
c,c
faith,hit
beg,könyörög
fuckin,rohadt
responsible,felelős
military,katonai
cheering,éljenzés
opportunity,lehetőséget
common,közös
bottom,alsó
german,német
whoever,bárki
cook,szakács
walked,sétált
papers,papírokat
justice,igazságszolgáltatás
hall,terem
commander,parancsnok
drug,kábítószer
main,fő-
knife,kés
devil,ördög
necessary,szükséges
although,bár
princess,hercegnő
lights,fények
flying,repülő
dick,fasz
rose,rózsa
knowing,tudván
clearly,egyértelműen
hat,kalap
agreed,egyeztetett
johnny,johnny
corner,sarok
code,kód
note,jegyzet
tommy,tommy
due,esedékes
correct,helyes
apologize,bocsánatot kérni
language,nyelv
stars,csillagok
faster,gyorsabban
cars,autók
folks,emberek
bullshit,hülyeség
i.,én.
fellow,fickó
several,számos
grandma,nagymama
shows,mutatja
leader,vezető
leaves,levelek
restaurant,étterem
east,keleti
shouting,kiabálás
blind,vak
ghost,szellem
cup,csésze
gotten,kapott
tight,szoros
conversation,beszélgetés
tells,elmondja
lies,hazugságok
nor,sem
pulled,húzta
hanging,függő
speed,sebesség
stories,történetek
health,egészség
advice,tanács
held,tartott
uh-huh,uh-huh
murdered,meggyilkolt
beyond,túl
rule,szabály
hardly,alig
possibly,esetleg
inspector,ellenőr
cousin,unokatestvér
trial,próba
emergency,vészhelyzet
ought,kellene
eddie,Eddie
somehow,valahogy
hearing,meghallgatás
states,kimondja
account,fiókot
spoke,küllő
file,fájlt
understood,értett
angel,angyal
tape,szalag
milk,tej
powerful,erős
weapons,fegyverek
practice,gyakorlat
manager,menedzser
pardon,Bocsánat
vote,szavazás
jake,jake
national,nemzeti
career,karrier
minister,miniszter
super,szuper
taught,tanította
robert,Robert
biggest,legnagyobb
plays,játszik
natural,természetes
dancing,tánc
copy,másolat
plus,plusz
martin,Márton
cake,torta
freedom,szabadság
among,között
breath,lehelet
operation,művelet
chris,Chris
crew,legénység
challenge,kihívás
market,piac
meat,hús
towards,felé
bringing,hozva
dropped,leesett
student,diák
lied,hazudott
strength,erő
size,méret
breathe,lélegzik
color,szín
monster,szörnyeteg
loud,hangos
photo,fénykép
aw,ó
nearly,közel
sight,látvány
greatest,legnagyobb
games,játékok
bridge,híd
dressed,öltözött
arrested,letartóztatott
horrible,szörnyű
coach,edző
planning,tervezés
checked,ellenőrizve
breaking,törés
noticed,észrevette
fantastic,fantasztikus
screams,sikolyok
serve,szolgál
ideas,ötleteket
investigation,vizsgálat
center,központ
older,idősebb
pack,csomag
soldiers,katonák
nonsense,ostobaság
doc,doc
project,projektet
training,edzés
example,példa
trick,trükk
prepared,előkészített
science,tudomány
united,egyesült
travel,utazási
incredible,hihetetlen
grandpa,nagypapa
paying,fizető
character,karakter
teeth,fogak
criminal,bűnügyi
charles,Károly
chinese,kínai
truly,valóban
honestly,őszintén
bro,tesó
survive,túlélni
bobby,bobby
target,cél
feed,takarmány
nurse,nővér
e,e
fake,hamisítvány
records,rekordokat
breathing,lélegző
sweetie,édesem
numbers,számok
oil,olaj
suicide,öngyilkosság
belong,tartozik
whoo,hú
perfectly,tökéletesen
amy,amy
forgotten,elfelejtett
remain,marad
original,eredeti
papa,papa
onto,-ra
concerned,érintett
credit,hitel
ugh,óóó
invited,meghívott
discuss,megbeszélni
research,kutatás
easier,könnyebben
view,kilátás
chair,szék
hurts,fáj
strike,sztrájk
roger,roger
fill,töltse ki
condition,állapot
mountain,hegy
dr,dr
nowhere,sehol
sheriff,seriff
kim,kim
turning,fordulás
brown,barna
recognize,felismerni
heads,fejek
audience,közönség
all,minden
jealous,féltékeny
pretend,"úgy tenni, mintha"
society,társadalom
finding,megállapítás
shirt,ing
comfortable,kényelmes
meaning,jelentése
guest,vendég
pieces,darabok
dry,száraz
letting,bérbeadása
began,kezdődött
aye,igen
jeff,jeff
female,női
release,engedje el
ho,ho
cards,kártyákat
pray,imádkozik
unfortunately,sajnos
balls,labdák
destroyed,megsemmisült
ended,véget ért
universe,világegyetem
prepare,készít
opinion,vélemény
movies,filmeket
soldier,katona
wash,mosás
program,program
heat,hőség
usual,szokásos
ticket,jegy
stolen,lopott
prefer,inkább
aware,tudatában van
surely,biztosan
male,férfi
base,bázis
matters,számít
lift,lift
lab,labor
command,parancs
proof,bizonyíték
cream,krém
selling,eladási
believed,hitte
create,teremt
h,h
afford,engedheti meg magának
sunday,vasárnap
total,teljes
dumb,néma
threw,dobta
france,Franciaország
birth,születés
created,létre
realized,rájött
british,brit
noise,zaj
nuts,dióféléket
students,hallgatók
birds,madarak
social,szociális
brilliant,ragyogó
bodies,testek
tie,nyakkendő
opened,nyitott
ours,a miénk
bucks,dolcsit
kevin,Kevin
mister,uram
ugly,csúnya
ryan,Ryan
focus,fókusz
dan,dan
opens,megnyílik
exist,létezik
followed,követte
england,Anglia
draw,húzni
purpose,cél
letters,leveleket
daniel,Daniel
opening,nyílás
bullet,golyó
anna,Anna
lately,utóbbi időben
stayed,maradt
falling,eső
season,évad
ends,véget ér
suggest,javasolja
joy,öröm
distance,távolság
responsibility,felelősség
whenever,bármikor
issue,kérdés
thousands,ezrek
process,folyamat
sword,kard
shower,zuhany
weak,gyenge
fucked,szar
lonely,magányos
happiness,boldogság
eric,eric
tiny,apró
desk,íróasztal
pool,medence
property,ingatlan
forced,kényszerű
settle,rendezni
indistinct,homályos
weight,súly
received,kapott
gang,banda
bite,harapás
friday,péntek
disappeared,eltűnt
interview,interjú
expecting,elvárva
kinda,valahogy
surgery,sebészet
horses,lovak
mayor,polgármester
babe,kisbaba
ancient,ősi
handsome,jóképű
thomas,Tamás
saturday,szombat
staff,személyzet
lines,vonalak
unit,egység
fan,ventilátor
gentleman,úriember
introduce,bevezetni
fate,sors
split,hasított
recently,nemrég
expected,várható
add,add hozzá
ordered,elrendelte
slowly,lassan
alarm,riasztás
member,tag
slept,aludt
signed,aláírva
enter,lépj be
spanish,spanyol
garden,kert
brings,hoz
brave,bátor
pig,sertés
model,modell
finger,ujj
medicine,gyógyszer
access,hozzáférés
failed,sikertelen
flat,lakás
easily,könnyen
discovered,felfedezték
based,alapján
screw,csavar
insane,őrült
cares,törődik
weather,időjárás
fingers,ujjait
san,san
scott,scott
path,útvonal
soft,puha
harm,kár
style,stílus
community,közösség
sees,látja
basically,alapvetően
al,al
signal,jel
nope,dehogy
spare,tartalék
speech,beszéd
covered,fedett
shake,rázza meg
loose,laza
snow,hó
russian,orosz
lake,tó
bright,fényes
roof,tető
ohh,ohh
sending,küldés
paint,festék
remind,emlékeztet
pal,haver
naked,meztelen
post,hozzászólás
sugar,cukor
heading,cím
streets,utcák
damage,kár
silence,csend
doors,ajtók
pete,pete
ed,szerk
success,siker
wet,nedves
nah,nah
amount,összeg
members,tagjai
kate,Kate
manage,kezelni
safety,biztonság
returned,visszatért
harder,nehezebb
fbi,fbi
block,tömb
showing,mutatja
fancy,képzelet
chef,séf
contract,szerződés
dig,dig
chest,mellkas
good-bye,búcsú
drinks,italokat
dave,Dave
buried,eltemették
brian,brian
trade,kereskedelmi
journey,utazás
stomach,gyomor
changes,változásokat
details,részletek
thoughts,gondolatok
divorce,válás
funeral,temetés
maria,maria
football,futball
reality,valóság
theory,elmélet
gosh,istenem
ruined,romos
gate,kapu
william,William
spread,terjedés
outta,kifelé
japanese,japán
sudden,hirtelen
coat,kabát
sooner,hamarabb
cheese,sajt
larry,Larry
spring,tavaszi
page,oldalon
ears,füle
simon,simon
castle,vár
hidden,rejtett
storm,vihar
cos,kötözősaláta
personally,személyesen
artist,művész
hill,hegy
exciting,izgalmas
permission,engedély
jerry,Jerry
expensive,drága
tickets,jegyeket
forest,erdő
barely,alig
eggs,tojás
goin,megy
regret,megbánás
lesson,lecke
lover,szerető
bread,kenyér
andy,andy
subject,téma
legal,jogi
growing,növekvő
ill,beteg
jason,jason
mood,hangulat
owner,tulajdonos
caused,okozta
beeping,csipog
points,pontokat
dating,társkereső
loss,veszteség
secretary,titkár
revenge,bosszú
santa,mikulás
likely,valószínűleg
rent,bérlés
connection,kapcsolat
assistant,helyettes
reasons,okokból
yelling,kiabálva
painting,festés
trees,fák
doctors,orvosok
rush,rohanás
foreign,külföldi
rough,durva
murderer,gyilkos
century,század
nights,éjszakák
pair,pár
runs,fut
pocket,zseb
farm,farm
matt,matt
bike,bicikli
obvious,nyilvánvaló
ate,evett
grew,nőtt
professional,szakmai
tim,tim
goodness,jóság
parts,alkatrészek
alan,alan
university,egyetemi
square,négyzet
grandfather,nagyapa
europe,Európa
genius,zseni
cases,esetek
ruin,rom
winter,téli
tongue,nyelv
memories,emlékek
da,da
buying,vásárlás
cancer,Rák
clock,óra
