german,hungarian
gib,ad
eigentlich,tulajdonképpen
jeden,minden
dad,apu
gab,adott
uhr,óra
stadt,város
männer,férfiak
baby,baba
fahren,hajtás
namen,neveket
bekommen,kap
kopf,fej
hi,Szia
gehe,megy
kleine,kicsi
später,később
glück,boldogság
letzte,utolsó
freunde,barátok
n,n
all,minden
darauf,rajta
ende,vége
dr.,dr.
bald,hamar
töten,megöl
dinge,dolgokat
meinst,átlagos
toll,nagy
eins,egy
minuten,jegyzőkönyv
vielen,sok
bereit,kész
weit,messze
ahnung,ötlet
seiner,az övé
bisschen,egy kis
tür,ajtó
auto,autó
jungs,srácok
eure,a te
augen,szemét
polizei,rendőrség
stehen,állvány
sterben,meghal
hätten,volna
draußen,kívül
kenne,tud
fast,majdnem
runter,le-
vorbei,felett
treffen,találkozik
gerne,örömmel
dran,a te sorod
wurden,lett
arbeiten,munka
mom,anya
verrückt,őrült
neue,új
ging,ment
hinter,mögött
sorgen,törődik
einzige,csak
jemanden,valaki
darum,ezért
tochter,lánya
braucht,igények
idee,ötlet
schwester,nővér
drin,belső
ruhig,csendes
sah,fűrész
ganzen,teljes
spät,késő
ziemlich,egészen
solltest,kellene
name,név
sogar,még
kurz,rövid
kerl,fickó
frauen,nők
liegt,hazugságok
suchen,keresni
finde,lelet
je,valaha
woher,ahonnan
lang,hosszú
job,munka
keiner,egyik sem
seinem,az övé
hört,hallja
verstehen,megérteni
spielen,játék
s.,s.
überhaupt,egyáltalán
teufel,ördög
verstanden,értett
verloren,elveszett
große,méret
hand,kéz
grund,ok
jahr,év
kommst,jön
mama,mama
ruhe,csendes
gewesen,volt
tod,halál
stunden,óra
hoffe,remény
denkst,gondol
oben,felett
gestern,tegnap
versuchen,kísérlet
art,művészet
letzten,utolsó
schatz,kincs
endlich,végül
he,szia
nimm,vesz
etwa,hozzávetőlegesen
erzählt,mondta
läuft,futás
schwer,nehéz
anders,különböző
miss,hiányzik
musste,kellett
fünf,öt
wasser,víz
lässt,engedjük
erste,első
versucht,kipróbált
gekommen,jött
geschichte,történet
wenig,kevés
holen,elhozni
bedeutet,eszközök
nett,szép
wahrheit,igazság
woche,hét
bringt,hoz
deshalb,emiatt
welche,melyik
bestimmt,biztosan
hoch,magas
alter,kor
sagst,mondjuk
schau,Nézze
ah,uh
land,ország
zimmer,szoba
wagen,merészel
vier,négy
gefallen,elesett
spaß,szórakoztató
niemals,soha
schuld,hiba
getötet,megölték
wollten,akarta
verlassen,szabadság
zeigen,megmutat
beste,legjobb
ernst,súlyos
unserer,a miénk
denen,azok
ort,elhelyezkedés
bleibt,maradványok
würdest,lenne
manchmal,néha
glaubst,hisz
seite,oldalon
lasst,hagyja
zwischen,között
eben,még
während,míg
spiel,játék
nehme,vesz
ersten,első
guter,áruk
chance,véletlen
freundin,barátnő
krieg,háború
gefällt,tetszik
kleinen,kicsi
erzählen,mondd meg
anderes,más
tage,napokon
entschuldigen,mentség
wichtig,fontos
gehst,megy
allen,mindenki
bett,ágy
mrs.,asszony.
sachen,dolgokat
the,a
schlecht,rossz
schule,iskola
entschuldigung,mentség
wort,szó
john,János
hättest,volna
wären,lenne
typ,típus
schlafen,alvás
äh,uh
tu,csináld
euer,a te
captain,kapitány
gesicht,arc
falls,ha
neuen,új
bloß,éppen
unten,alatt
teil,rész
beiden,mindkét
mensch,személy
kleiner,kisebb
stellen,hely
oft,gyakran
sorge,aggodalmak
gedacht,gondolat
tust,csináld
trinken,ital
einige,néhány
dies,ez
ding,dolog
unseren,a miénk
kriegen,kap
blut,vér
ehrlich,becsületes
eltern,szülők
scheint,jelenik meg
herz,szív
jack,Csatlakozó
glücklich,boldog
alte,régiek
alt,régi
bleib,marad
wiedersehen,viszontlátásra
frei,ingyenes
wen,WHO
drauf,rajta
möglich,lehetséges
irgendwie,valahogy
reicht,elegendő
fest,határozottan
besten,legjobb
waffe,fegyver
kaum,alig
irgendwas,valami
klingt,hangokat
platz,hely
brauchst,igény
rede,beszéd
papa,papa
falsch,helytelen
sondern,inkább
alten,régi
nummer,szám
früher,korábban
jungen,fiúk
wohin,ahol
außer,kivéve
früh,korai
setzen,készlet
zuerst,első
wahrscheinlich,valószínűleg
dürfen,május
jede,minden
arsch,szamár
telefon,telefon
tue,csináld
kennst,tud
willkommen,üdvözlöm
plan,terv
großen,nagy
retten,megtakarítás
hierher,itt
wär,lenne
bring,hozza
fehler,hiba
wollt,akarta
dollar,dollár
zehn,tíz
allem,minden
pass,útlevél
nächste,következő
stunde,óra
hände,kezek
gegeben,adott
menge,tömeg
langsam,lassú
bereits,már
wartet,vár
sechs,hat
lieben,szeretet
meines,enyém
büro,hivatal
nächsten,következő
gebe,ad
wochen,hétig
ruf,hívás
schaffen,teremt
leider,sajnos
scheiß,szar
hölle,pokol
trotzdem,annak ellenére
doktor,orvos
tja,jól
new,új
voll,tele
film,film
überall,mindenhol
hund,kutya
geworden,válik
direkt,közvetlen
wolltest,akarta
tat,tette
denkt,gondolja
schiff,hajó
neues,új
wem,kit
könig,király
danach,ezután
funktioniert,funkciókat
hattest,volt
lernen,tanul
deswegen,emiatt
wow,Hűha
nennen,megnevezni
hm,Hm
feuer,Tűz
laufen,fut
alleine,kizárólag
erinnern,emlékezz
völlig,teljesen
kleines,kicsi
könnt,tud
stelle,hely
kumpel,haver
verlieren,veszít
probleme,problémákat
spricht,beszél
kaffee,kávé
luft,levegő
fand,talált
i,én
entschuldige,sajnálom
ziehen,Húzni
verschwinden,eltűnik
könntest,tudott
seht,lásd
aufhören,Stop
eigenen,saját
richtige,helyes
unserem,a miénk
suche,keresés
zwar,vagyis
groß,nagy
hol,kap
buch,könyv
krank,beteg
fühle,érezni
jedes,minden
verstehst,megérteni
wert,érték
arzt,orvos
froh,boldog
versuche,megpróbál
straße,utca
rufen,hívás
heiraten,házasodni
super,szuper
sam,Sam
lebt,él
gutes,jó
lasse,hagyja
onkel,nagybácsi
total,teljes
gebracht,hozott
party,fél
erklären,megmagyarázni
spielt,játszik
wahl,választás
vertrauen,bizalom
damals,akkor
tagen,találkozók
leicht,fény
nachdem,után
gegangen,elmúlt
gefühl,érzés
kaufen,vétel
geschafft,kész
typen,típusok
interessiert,érdekelt
möchten,akar
halte,tart
hält,tart
glaub,hisz
irgendwo,valahol
stück,darab
genauso,éppen úgy
kennt,tudja
genommen,vett
zukunft,jövőbeli
weniger,kevesebbet
cool,hűvös
licht,fény
getroffen,találkozott
himmel,ég
nachricht,hír
drüben,felett
passt,illik
sagten,mondta
kümmern,Vigyázz magadra
laut,hangos
vergiss,felejtsd el
angerufen,hívott
sitzen,ül
daß,hogy
erde,Föld
großer,nagyot
schlüssel,kulcsfontosságú
rest,pihenés
passieren,történik
eher,inkább
gefragt,kérdezte
gefängnis,börtön
opfer,áldozat
körper,test
solche,ilyen
mist,szar
mr,úr
findet,találja
schreiben,írj
böse,gonosz
gesprochen,beszélt
versuch,kísérlet
vorstellen,bevezetni
wovon,mitől
sobald,amint
nochmal,újra
herren,Urak
sex,szex
waffen,fegyverek
wohnung,lakás
weh,fájó
heißen,hívják
krankenhaus,kórház
bringe,hozza
höre,hallgat
millionen,millió
klasse,osztály
hart,kemény
worden,volt
sinn,érzék
außerdem,ettől eltekintve
verletzt,sérült
ändern,változás
erfahren,tapasztalat
tragen,visz
wenigstens,legalább
vorsichtig,óvatos
daddy,apu
stolz,büszke
stark,erős
fällt,esik
möchtest,szeretnének
leuten,emberek
besonders,különösen
schöne,gyönyörű
schicken,elküld
person,személy
schätze,találgatás
solange,amíg
länger,hosszabb
großartig,nagy
lacht,nevet
anrufen,hívás
stand,állt
redest,beszélgetés
fühlen,érezni
erwartet,várható
boden,emelet
boss,főnök
stimme,egyetért
glaubt,hisz
still,csendes
sicherheit,biztonság
setz,fel
ma,ma
mund,száj
kämpfen,csata
wisst,tud
lachen,nevetés
hörst,hall
zeug,dolgokat
lustig,vicces
umbringen,megöl
sollst,neked kellene
hasse,gyűlölet
schlimm,szörnyű
o,O
unglaublich,hihetetlen
wärst,lenne
laden,terhelés
führen,ólom
gestorben,meghalt
schauen,Nézze
meinung,vélemény
lesen,olvas
mörder,gyilkos
frank,őszinte
ähm,hm
geschehen,történik
geschäft,üzleti
idiot,idióta
verzeihung,megbocsátás
fliegen,repül
zeig,megmutat
team,csapat
general,általános
mike,Mikrofon
aufs,ons
york,York
vorher,korábban
schluss,befejező
schneller,gyorsabban
liebt,szeret
verdient,szerzett
mögen,mint
meisten,legtöbb
denk,gondol
umgebracht,megölték
perfekt,tökéletes
versprochen,ígért
handy,mobiltelefon
hinten,hátulsó
monate,hónap
erinnere,emlékezz
acht,nyolc
arbeitet,művek
fallen,esik
rufe,kiáltás
nötig,szükséges
a,a
mord,gyilkosság
heraus,innen
tages,nap
unmöglich,lehetetlen
liebling,Drágám
charlie,Charlie
tatsächlich,tulajdonképpen
folgen,következményei
bitten,kérdez
behalten,tartsa
nähe,közelébe
arbeite,munka
joe,joe
verdammte,átkozott
plötzlich,hirtelen
lebens,élet
hole,elhozni
tisch,táblázat
michael,Michael
hörte,hallott
jemals,valaha
liegen,világi
verkaufen,elad
gefährlich,veszélyes
anfangen,kezdődik
bekommt,kap
machte,készült
ha,Ha
hotel,szálloda
hilft,segít
werdet,akarat
meister,fő-
kampf,csata
antwort,válasz
konnten,tudott
geschickt,küldött
jedem,mindenki
obwohl,bár
sieben,hét
komisch,vicces
gewinnen,győzelem
ihres,az övé
bezahlt,fizetett
you,te
voller,teltebb
unterwegs,úton
dumm,néma
ärger,súlyosbodás
bild,kép
george,György
neu,új
bezahlen,fizetés
dagegen,ellene
seien,legyen
starb,meghalt
tom,tom
monaten,hónap
leiche,hulla
niemanden,senki
auge,szem
arschloch,seggfej
verheiratet,házas
peter,Péter
zieh,Húzni
nimmt,veszi
gerettet,mentve
agent,ügynök
traum,álom
entscheidung,döntés
schlimmer,rosszabb
regeln,szabályozni
fenster,ablak
fangen,fogás
fort,folytatta
ständig,állandó
findest,lelet
gefahr,veszély
absolut,teljesen
mary,Mária
augenblick,pillanat
bescheid,értesítés
rum,rum
gedanken,gondolatok
werd,akarat
ziel,cél
benutzt,használt
bewegung,mozgás
jemandem,valaki
wünschte,kívánta
worte,szavak
kamen,jött
welcher,melyik
zahlen,fizetés
anfang,kezdet
legen,hely
erinnerst,emlékezz
anwalt,ügyvéd
fahr,hajtás
sitzt,ül
hilf,Segítség
offen,nyitott
schönen,gyönyörű
monsieur,úr
müsste,kellene
arme,szegény
bier,sör
fürs,számára
partner,partner
klein,kicsi
david,David
klappe,fékszárny
süß,édes
herum,körül
finger,ujj
ehe,előtt
rolle,szerep
ließ,hagyja
gleiche,azonos
monat,hónap
hochzeit,esküvő
max,max
führt,vezet
paris,Párizs
wach,ébren
wozu,milyen okból
arm,kar
geschrieben,írott
chef,főnök
benutzen,használat
informationen,információ
erledigt,elkészült
hoffentlich,remélhetőleg
müsst,kell
fühlt,úgy érzi
tanzen,tánc
ansehen,kilátás
darfst,május
zuhause,otthon
wunderbar,csodálatos
hältst,tart
reise,utazás
gewonnen,won
dame,hölgy
irgendwann,egykori
chffffff,chffffff
alex,Alex
steckt,megragadt
jedenfalls,különben is
schreit,sikolyok
tolle,nagy
rüber,felett
tschüss,Viszlát
nennt,hívásokat
raum,tér
heiß,forró
foto,fénykép
kalt,hideg
paul,pál
irgendetwas,bármi
weile,míg
bisher,egészen mostanáig
minute,perc
unbedingt,teljesen
zug,vonat
sekunden,másodpercig
wofür,minek
erzähl,mondd meg
nen,nen
beweise,bizonyítékok
nahm,vett
aller,minden
freut,boldog
seele,lélek
schießen,lő
müde,fáradt
dauert,tart
magst,mint
harry,Harry
brief,levél
gelernt,tanult
sucht,keresi
bekannt,ismert
weitere,több
unfall,baleset
dahin,ott
kontrolle,ellenőrzés
beispiel,példa
lady,hölgy
dasselbe,azonos
herzen,szívek
schlagen,találat
wütend,dühös
weise,út
damen,hölgyek
darin,benne
gottes,Isten
holt,elhozni
fehlt,hiányzó
vorsicht,Vigyázat
heiße,forró
beweisen,bizonyítani
gehabt,volt
zumindest,legalább
vermisst,hiányzó
hübsch,szép
kriegt,kap
verbindung,kapcsolat
tief,mély
richtung,irány
lage,elhelyezkedés
sowieso,különben is
kraft,hatalom
normal,normál
lauf,fut
ehre,becsület
stell,fel
geschenk,ajándék
bar,medve
tasche,táska
gelesen,olvas
gekauft,vásárolt
wussten,tudta
gestohlen,lopott
hunger,éhség
leg,láb
lügen,hazugság
beziehung,kapcsolat
ben,ben
verschwunden,eltűnt
steh,állvány
nächstes,következő
gearbeitet,dolgozott
preis,ár
witz,tréfa
meinte,mondta
liste,lista
geist,szellem
neben,mellett
gesucht,akarta
firma,vállalat
süße,édesség
rücken,vissza
schrecklich,szörnyű
letzter,utolsó
verliebt,szerelmes
öffnen,nyitott
redet,beszél
boot,hajó
seltsam,furcsa
versteckt,rejtett
fürchte,félelem
verschwinde,eltűnik
erwischt,elkapták
verkauft,eladott
tante,néni
erwarten,elvárják
pferd,ló
wunder,csoda
sauer,savanyú
vermutlich,állítólag
näher,közelebb
major,őrnagy
jung,fiatal
majestät,felség
aussehen,Nézze
ans,ans
de,de
and,és
links,balra
großes,nagy
welches,melyik
beschützen,védeni
geboren,született
erreichen,elérni
punkt,pont
kindern,gyermekek
kirche,templom
verraten,elárulta
selber,magát
befehl,parancs
colonel,ezredes
fährt,meghajtók
zieht,húzza
geburtstag,születésnap
haut,bőr
wette,tét
reich,gazdag
sekunde,második
fahre,hajtás
schwöre,esküszik
geredet,beszélt
james,James
madame,asszonyom
eigene,saját
zeiten,alkalommal
traurig,szomorú
anruf,hívás
nachrichten,hír
frieden,béke
karte,térkép
güte,minőség
euren,a tiéd
diesmal,ezúttal
schade,kár
persönlich,személyes
kriege,kap
stirbt,meghal
bleibe,marad
verändert,megváltozott
sonne,nap
lieb,kedves
nämlich,ugyanis
letztes,utolsó
bekam,kapott
ruft,hívásokat
professor,egyetemi tanár
gericht,bíróság
nase,orr
ewig,örökre
singen,énekel
bank,bank
beschäftigt,elfoglalt
computer,számítógép
yeah,igen
toten,megöl
weihnachten,karácsonyi
offensichtlich,látszólag
naja,Na jó
henry,Henrik
gefühle,érzéseket
fuß,láb
show,megmutat
überraschung,meglepetés
geheimnis,titkos
fbi,fbi
kontakt,érintkezés
gold,arany
drogen,gyógyszerek
regierung,kormány
wein,bor
kriegst,kapsz
ermordet,meggyilkolt
fotos,fényképeket
entfernt,eltávolították
geschlafen,aludt
manche,néhány
erledigen,teljes
ran,futott
gegenüber,szemben
schlaf,alvás
lust,vágy
wunderschön,gyönyörű
witzig,vicces
nick,nick
zerstört,megsemmisült
übrigens,egyébként
willen,akarat
heim,otthon
richtigen,helyes
deines,a tiéd
namens,hívott
zeigt,mutatja
geliebt,szeretett
gehören,tartozik
brachte,hozott
herrn,úr
blick,kilátás
besuch,látogatás
schlechte,rossz
bewegen,mozog
haare,haj
antworten,válasz
präsident,elnök
sagtest,azt mondtad
hoffnung,remény
stecken,fel
lebe,élő
rechts,jobbra
interessant,érdekes
entscheiden,dönt
miteinander,egymást
meint,eszközök
liebst,szeretet
indem,által
bleibst,marad
kümmere,Vigyázz magadra
wohnen,lakik
weder,sem
möglichkeit,lehetőség
kaputt,törött
bekomme,kap
flugzeug,repülőgép
vergangenheit,elmúlt
anderer,mások
zweite,második
armee,hadsereg
jim,jim
tee,tea
entweder,bármelyik
weiss,fehér
don,Don
detective,nyomozó
aufhalten,Stop
stellt,biztosítja
verspreche,ígéret
überrascht,meglepődött
sauber,tiszta
hau,vág
mark,Mark
schlag,találat
sheriff,seriff
untertitel,feliratokat
setzt,készletek
frag,kérdez
vaters,apa
nervös,ideges
gesellschaft,vállalat
verstecken,elrejt
schuldig,bűnös
hals,nyak
schützen,védeni
besuchen,látogatás
of,a
passen,illeszkedik
überleben,túlélni
erhalten,kap
teilen,hasított
gebäude,épület
schicksal,sors
zeichen,jel
richter,bíró
besorgt,aggódó
küche,konyha
lief,futott
vergnügen,élvezet
wüsste,tudta
volk,emberek
lhr,a tiéd
herausfinden,megtudja
königin,királynő
soldaten,katonák
feiern,ünnepel
situation,helyzet
lag,világi
gelassen,nyugodt
allerdings,viszont
soweit,eddig
gefahren,hajtott
verstand,elme
bord,bizottság
schönes,gyönyörű
jimmy,Jimmy
billy,fütykösbot
angefangen,megkezdett
lee,lee
fühlst,érezni
bob,bob
mussten,kellett
rat,tanács
worauf,Mi
gebeten,kérte
tony,tony
kamera,kamera
achtung,veszély
lieutenant,hadnagy
ganzes,egész
schuhe,cipő
sarah,Sára
glückwunsch,Gratulálok
niemandem,senki
gibst,ad
statt,helyett
übernehmen,átvenni
gegend,terület
wald,erdő
al,al
la,la
nimmst,vesz
danny,Danny
erkennen,felismerni
glas,üveg
falsche,hamis
verantwortlich,felelős
jesus,Jézus
stöhnt,nyögi
herein,be
kleid,egy ruha
zerstören,elpusztítani
jawohl,igen valóban
london,London
gegessen,evett
abendessen,vacsora
gesetz,törvény
gemeinsam,együtt
geholfen,segített
erster,első
wohnt,él
schritt,lépés
guck,Nézze
nahe,közelébe
aussieht,úgy néz ki
beginnen,indul
dachten,gondolat
band,zenekar
ungefähr,hozzávetőlegesen
aufgabe,feladat
neun,kilenc
furchtbar,szörnyű
drinnen,belső
zuvor,előtt
charles,Károly
freue,boldog vagyok
amerika,Amerika
übrig,megmaradt
spur,pálya
falschen,rossz
sergeant,őrmester
melden,jelentés
helfe,Segítség
werfen,dobás
bill,számla
haltet,tart
erinnert,emlékezett
hängt,lóg
freude,öröm
ehemann,férj
erschossen,lövés
verzeihen,Bocsánat
schwein,sertés
uh,uh
monster,szörnyeteg
entschieden,határozott
mission,misszió
verdammten,átkozott
brauch,igény
gewusst,ismert
vorne,előtt
stopp,Stop
übel,rossz
schlampe,kurva
schöner,szebb
adresse,cím
unsinn,ostobaság
messer,kés
gesund,egészséges
respekt,tisztelet
pro,per
leisten,engedheti meg magának
davor,előtte
richard,Richard
bedeuten,átlagos
ball,labda
mitnehmen,vigyél magaddal
gespielt,játszott
to,hogy
schwierigkeiten,nehézségeket
hälfte,fél
kannte,tudta
stehe,állvány
maria,Maria
planeten,bolygók
schwanger,terhes
gruppe,csoport
anna,Anna
verhaftet,letartóztatott
deal,üzlet
seines,az övé
irgendwelche,bármilyen
händen,kezek
versteht,érti
drehen,fordulat
eis,jég
danken,köszönet
erfolg,siker
zufrieden,elégedett
schließen,közeli
besorgen,szerezni
wochenende,hétvégi
worüber,miről
stimmen,hangokat
nehmt,vesz
martin,Márton
m,m
witze,vicceket
beine,lábak
verbrechen,bűncselekmény
bericht,jelentés
nachts,éjszaka
eurer,a tiéd
prinzessin,hercegnő
schmerz,fájdalom
klingelt,gyűrűk
position,pozíció
echte,igazi
gleichen,azonos
fernsehen,tv
wünsche,kívánságait
schließlich,végül
gefangen,elkapták
schätzchen,baba
seh,lásd
schwierig,nehéz
angebot,ajánlat
nah,közeli
jane,Jane
gewartet,várt
kümmert,törődik
ring,gyűrű
rennen,fut
lied,dal
eier,tojás
welchen,melyek azok
sorry,sajnálom
fantastisch,fantasztikus
schaut,úgy néz ki
hielt,tartott
falle,esik
drink,ital
insel,sziget
dauern,utolsó
daher,ezért
zufällig,véletlenszerűen
dorf,falu
clark,Clark
bewegt,megmozdult
mitten,középső
bullen,bikák
feind,ellenség
einverstanden,egyeztetett
neuer,újabb
bauen,épít
trägt,hordoz
hängen,lógni
freunden,barátok
deren,akinek
halb,fél
verpasst,hiányzott
sprach,küllő
leise,csendes
armen,szegény
wusstest,tudtad
fanden,talált
unternehmen,vállalat
träume,álmokat
schläft,alszik
kostet,költségeket
spiele,játékok
unseres,a miénk
entlang,mentén
johnny,Johnny
versprechen,ígéret
tiere,állatokat
freiheit,szabadság
verdienen,pénzt keres
aha,Aha
unterhalten,szórakoztatni
eingeladen,meghívott
schaden,kár
genannt,hívott
beenden,befejezni
ray,sugár
geändert,megváltozott
thomas,Tamás
lächerlich,nevetséges
geschlagen,megverték
park,park
schätzen,kincs
männern,férfiak
t,t
beginnt,kezdődik
ehren,becsület
größte,legnagyobb
energie,energia
fleisch,hús
besonderes,különleges
besteht,áll
reichen,elegendőek
robert,Robert
zeitung,újság
worum,miről
nachgedacht,gondolkodott
betrunken,részeg
sowas,mint ez
patienten,betegek
gespräch,beszélgetés
leiden,szenved
taxi,Taxi
tötet,megöl
see,tó
unterschied,különbség
wind,szél
singt,énekel
schreien,sikoly
daniel,Daniel
sahen,fűrész
wand,fal
bus,busz
lhre,a tiéd
angriff,támadás
verhalten,viselkedik
loch,lyuk
interesse,kamat
treten,lépés
quatsch,ostobaság
trifft,találatokat
polizist,rendőr
blumen,virágok
neuigkeiten,hír
bringst,hozza
flasche,üveg
rief,– kiáltotta
schuss,lövés
fassen,felfogni
meer,tenger
konntest,tudott
schafft,létrehozza
maschine,gép
spreche,beszél
bein,láb
eddie,Eddie
bekommst,kap
verbringen,tölt
bücher,könyveket
blöd,hülye
frühstück,reggeli
tommy,tommy
meter,méter
bilder,képeket
aufpassen,vigyázz
claire,Claire
dessen,akinek
muß,kell
freuen,légy boldog
engel,angyal
offenbar,látszólag
gelegenheit,lehetőséget
fang,fogás
lüge,hazugság
ohren,füle
au,Jaj
angetan,lenyűgözött
beeil,siess
brechen,szünet
brüder,testvérek
zeitpunkt,idő
keinem,senki
ecke,sarok
brücke,híd
druck,nyomás
mitgebracht,hozott magával
seufzt,sóhajt
date,dátum
haufen,halom
oma,nagyi
auftrag,rendelés
leer,üres
entkommen,menekülés
bobby,Bobby
weißen,fehér
lösung,megoldás
wart,Várjon
pause,szünet
irre,őrült
gestellt,helyezett
keller,pince
gebrochen,törött
weinen,kiáltás
nutzen,használni
wünschen,kíván
fragt,kérdi
maul,száj
verantwortung,felelősség
schloss,zár
hut,kalap
lächeln,mosoly
ryan,Ryan
red,piros
grad,fokozat
zweiten,második
hinaus,ki
mitkommen,gyere el
vorhin,korábban
fahrt,hajtás
gemeint,jelentett
ernsthaft,komolyan
gebaut,épült
bombe,bomba
hasst,gyűlöl
versteh,megérteni
kosten,költség
zeige,megmutat
traf,találkozott
eigenes,saját
haar,haj
fragte,kérdezte
jason,jason
operation,művelet
befehle,parancsokat
schmerzen,fájdalmak
erklärt,magyarázta
steve,Steve
dach,tető
folge,következmény
gelaufen,futott
schwarze,fekete
dankbar,hálás
gehirn,agy
töte,megöl
mädels,lányok
mut,bátorság
heilige,szent
laura,laura
tier,állati
system,rendszer
mannes,férfi
wahnsinn,őrület
nee,dehogy
rose,rózsa
club,klub
geschlossen,zárt
hintern,csikk
is,van
thema,téma
fiel,leesett
gehalten,tartott
dorthin,ott
urlaub,vakáció
